ENVIADO,USUARIOENVIO,FECHASOLICITUD,INSUMO,SOLUCION,ANSSOLUCION,OBSERVACION,DIRECCIONES_CORREGIDAS,RESPONSABLE,ANSACTIVIDAD,FECHAINI,FECHAFIN
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1430805624,"Correcion limites y Poligonos",136:34:36,"CL 203 A # 25 - 07 MZ G CS 7, SE ACTUALIZA, AVIAFLO-TAP018522, BOCA 4",1,JRAMIRCA,00:24:08,"2018-05-03 06:56:28","2018-05-03 07:20:36"
ASIGNACIONES,"BUZÓN DE GESTIÓN INCONSISTENCIAS","2018-05-02 20:13:00",1-3HDW6R7TR,"Correcion limites y Poligonos",11:17:23,"SE MUEVE POLÍGONO DE COBRE PARA COBERTURA",1,SSANCHP,00:24:22,"2018-05-03 07:06:01","2018-05-03 07:30:23"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1430863885,"Correcion limites y Poligonos",137:17:20,"CL 35 # 2 AE - 77 AP 301,SE ACTUALIZA, AVIAFLO-TAP017117, BOCA 4",1,JRAMIRCA,00:41:14,"2018-05-03 07:22:06","2018-05-03 08:03:20"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1429259385,"Correcion limites y Poligonos",137:44:25,"CL 1 # 2 - 75 TO 1 AP 602.SE VERIFICAN COORDENADAS, SE BUSCA DIRECCIÓN EN PNI, SE ACTUALIZA Y ASIGNA RED AL GIS DEL USUARIO.",1,CRODRIGP,01:16:26,"2018-05-03 07:13:59","2018-05-03 08:30:25"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:31:00",1428322527,"Correcion limites y Poligonos",138:03:15,"SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO A UN DUMMY",1,SSANCHP,01:02:32,"2018-05-03 07:31:43","2018-05-03 08:34:15"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1429240267,"Correcion limites y Poligonos",138:12:52,"CL 2 D # 7 - 15 SUR, NO ENCONTRADA,SIN NOE,SIN TAP",0,JRAMIRCA,00:35:10,"2018-05-03 08:23:42","2018-05-03 08:58:52"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1428339993,"Correcion limites y Poligonos",138:35:42,"CL 129 B BIS # 93 - 40, SE ACTUALIZA, SUBABOG-TAP009229, BOCA 1",1,JRAMIRCA,00:22:28,"2018-05-03 08:59:14","2018-05-03 09:21:42"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1429310602,"Correcion limites y Poligonos",138:37:35,"DG 56 C SUR # 81 J - 52 AP 102  SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO AUN DUMMY",1,EESTRAS,02:06:02,"2018-05-03 07:17:33","2018-05-03 09:23:35"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:16:00",1429277907,"Correcion limites y Poligonos",139:08:44,"SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO A UN DUMMY",1,SSANCHP,00:50:23,"2018-05-03 08:34:21","2018-05-03 09:24:44"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1431581394,"Correcion limites y Poligonos",139:03:01,"CL 1 NORTE # 6 B - 09 IN 201.SE VERIFICAN COORDENADAS, SE BUSCA DIRECCIÓN EN PNI, SE ACTUALIZA Y ASIGNA RED AL GIS DEL USUARIO.",1,CRODRIGP,01:18:29,"2018-05-03 08:30:32","2018-05-03 09:49:01"
"DATA CLEAN","DATA CLEAN","2018-04-27 13:46:00",1431058198,"Correcion limites y Poligonos",140:21:57,"CL 14 # 17 - 22, SE ACTUALIZA, SBENVVC-TAP353666204, BOCA 4",1,JRAMIRCA,00:10:32,"2018-05-03 09:57:25","2018-05-03 10:07:57"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1430899063,"Correcion limites y Poligonos",139:24:19,"CL 18 # 8 - 05 OESTE TO 6 AP 101.SE VERIFICAN COORDENADAS, SE BUSCA DIRECCIÓN EN PNI, SE ACTUALIZA Y ASIGNA RED AL GIS DEL USUARIO.",1,CRODRIGP,00:21:12,"2018-05-03 09:49:07","2018-05-03 10:10:19"
"DATA CLEAN","data clean","2018-04-27 14:46:00",1428677102,"Correcion limites y Poligonos",139:37:28,"DG 73 F SUR # 86 D - 43 SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO AUN DUMMY",1,EESTRAS,00:59:54,"2018-05-03 09:23:34","2018-05-03 10:23:28"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1430988048,"Correcion limites y Poligonos",139:50:56,"CL 146 # 128 - 53 CS 219, SE ACTUALIZA, SUBABOG-TAP011436, BOCA 1",1,JRAMIRCA,00:28:10,"2018-05-03 10:08:46","2018-05-03 10:36:56"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:31:00",1428287231,"Correcion limites y Poligonos",140:10:30,"SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO A UN DUMMY",0,SSANCHP,00:47:05,"2018-05-03 09:54:25","2018-05-03 10:41:30"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1429363651,"Correcion limites y Poligonos",140:08:11,"CL 18 # 8 - 45 OESTE TO 10 IN 102.SE VERIFICAN COORDENADAS, SE BUSCA DIRECCIÓN EN PNI, SE ACTUALIZA Y ASIGNA RED AL GIS DEL USUARIO.",1,CRODRIGP,00:43:47,"2018-05-03 10:10:24","2018-05-03 10:54:11"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:19:00",1429355665,"Correcion limites y Poligonos",140:56:07,"SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO A UN DUMMY",1,SSANCHP,00:33:37,"2018-05-03 10:41:30","2018-05-03 11:15:07"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1429186224,"Correcion limites y Poligonos",140:39:30,"Bogota	CL 150 A # 142 C - 55,SE ACTUALIZA, SUBABOG-TAP002253, BOCA 7",1,JRAMIRCA,00:47:18,"2018-05-03 10:38:12","2018-05-03 11:25:30"
ASIGNACIONES,"BUZÓN GESTIÓN INCONSISTENCIAS","2018-05-03 09:08:00","KR 49 # 48 - 28 AP 401","Correcion limites y Poligonos",02:37:44,"Se verifica servicio y esta correcta la cobertura y los flag, por parte del grupo de pni no hay nada de corrección.",0,SSANCHP,00:30:36,"2018-05-03 11:15:08","2018-05-03 11:45:44"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1429364103,"Correcion limites y Poligonos",141:12:34,"BR Villas De San Juan MZ K IN 1 CS 133 PI 2.SE VERIFICAN COORDENADAS, SE BUSCA DIRECCIÓN EN PNI, SE ACTUALIZA Y ASIGNA RED AL GIS DEL USUARIO.",1,CRODRIGP,01:04:18,"2018-05-03 10:54:16","2018-05-03 11:58:34"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1431245685,"Correcion limites y Poligonos",141:34:18,"CL 17 SUR # 15 - 30 ESTE,SE ACTUALIZA, SBENVVC-TAP352591823, BOCA 1",1,JRAMIRCA,00:30:55,"2018-05-03 11:49:23","2018-05-03 12:20:18"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:28:00",1428259932,"Correcion limites y Poligonos",142:01:58,"SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO A UN DUMMY",1,SSANCHP,00:43:44,"2018-05-03 11:46:14","2018-05-03 12:29:58"
