ENVIADO,USUARIOENVIO,FECHASOLICITUD,INSUMO,SOLUCION,ANSSOLUCION,OBSERVACION,DIRECCIONES_CORREGIDAS,RESPONSABLE,ANSACTIVIDAD,FECHAINI,FECHAFIN
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1428567456,"Correcion limites y Poligonos",160:51:47,"KR 12 # 55 D - 65 IN 2, SE ACTUALIZA, BAIREJA-TAP000707, BOCA 2",1,JRAMIRCA,00:38:13,"2018-05-04 06:59:34","2018-05-04 07:37:47"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1431988946,"Correcion limites y Poligonos",161:44:33,"KR 18 SUR # 2 - 36 IN 1.SE VERIFICAN COORDENADAS, SE BUSCA DIRECCIÓN EN PNI, SE ACTUALIZA Y ASIGNA RED AL GIS DEL USUARIO.",1,CRODRIGP,01:12:49,"2018-05-04 07:17:44","2018-05-04 08:30:33"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:02:00",1431090889,"Correcion limites y Poligonos",162:36:36,"SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO A UN DUMMY",1,SSANCHP,01:35:58,"2018-05-04 07:02:38","2018-05-04 08:38:36"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1429198871,"Correcion limites y Poligonos",161:56:39,"KR 26 A # 33 A - 19 TO NORTE AP 301,SE ACTUALIZA, BAIREJA-TAP002737, BOCA 1",1,JRAMIRCA,00:59:44,"2018-05-04 07:42:55","2018-05-04 08:42:39"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:18:00",1429216286,"Correcion limites y Poligonos",163:00:32,"SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO A UN DUMMY",1,SSANCHP,00:39:57,"2018-05-04 08:38:35","2018-05-04 09:18:32"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:47:00",1431568002,"Correcion limites y Poligonos",162:42:05,"CL 9 # 50 SUR - 37 .SE VERIFICAN OORDENADAS PEGAN EN DUMMY, SE DEJA PTE NO SE ENCONTRÓ DIRECCIÓN.",0,CRODRIGP,00:58:24,"2018-05-04 08:30:41","2018-05-04 09:29:05"
"DATA CLEAN","data clean","2018-04-27 14:46:00",1428342740,"Correcion limites y Poligonos",162:55:07,"KR 54 A # 39 A - 30 PI 1 SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO AUN DUMMY",1,EESTRAS,02:34:38,"2018-05-04 07:06:29","2018-05-04 09:41:07"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1428582175,"Correcion limites y Poligonos",162:55:18,"SE ACTUALIZA,BAIREJA-TAP313793861,BOCA 3",1,JRAMIRCA,00:11:45,"2018-05-04 09:29:33","2018-05-04 09:41:18"
"DATA CLEAN","data clean","2018-04-27 14:46:00",1429232255,"Correcion limites y Poligonos",163:10:53,"KR 55 # 78 G - 40 SUR SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO AUN DUMMY",1,EESTRAS,00:15:47,"2018-05-04 09:41:06","2018-05-04 09:56:53"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:19:00",1428309955,"Correcion limites y Poligonos",163:51:39,"SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO A UN DUMMY",1,SSANCHP,00:52:08,"2018-05-04 09:18:31","2018-05-04 10:10:39"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1428852534,"Correcion limites y Poligonos",163:34:09,"KR 73 C SUR # 80 J - 03 SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO AUN DUMMY",2,EESTRAS,00:23:17,"2018-05-04 09:56:52","2018-05-04 10:20:09"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1431545504,"Correcion limites y Poligonos",163:34:56,"CL 9 B # 50 SUR - 48  PI 1.SE VERIFICAN OORDENADAS PEGAN EN DUMMY, SE DEJA PTE NO SE ENCONTRÓ DIRECCIÓN.",0,CRODRIGP,00:51:42,"2018-05-04 09:29:14","2018-05-04 10:20:56"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1428362475,"Correcion limites y Poligonos",163:39:54,"UB Oro Negro LT 104, SE ACTUALIZA,BAIREJA-TAP340907360, BOCA 1",1,JRAMIRCA,00:40:23,"2018-05-04 09:45:31","2018-05-04 10:25:54"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:45:00",1428341198,"Correcion limites y Poligonos",163:43:10,"CARRERA 77 SUR # 80 J - 45  SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO AUN DUMMY",1,EESTRAS,00:08:02,"2018-05-04 10:20:08","2018-05-04 10:28:10"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1430861192,"Correcion limites y Poligonos",164:00:06,"KR 78 SUR # 0 - 60 IN 19 AP 401  SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO AUN DUMMY",1,EESTRAS,00:17:57,"2018-05-04 10:28:09","2018-05-04 10:46:06"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1431591419,"Correcion limites y Poligonos",164:00:49,"KR 51 SUR # 8 G - 03.SE VERIFICAN OORDENADAS PEGAN EN DUMMY, SE DEJA PTE NO SE ENCONTRÓ DIRECCIÓN.",1,CRODRIGP,00:25:47,"2018-05-04 10:21:02","2018-05-04 10:46:49"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:10:00",1428309955,"Correcion limites y Poligonos",164:49:12,"SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO A UN DUMMY",1,SSANCHP,00:48:28,"2018-05-04 10:10:44","2018-05-04 10:59:12"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:47:00",1428585187,"Correcion limites y Poligonos",164:19:56,"URB ORONEGRO ETAPA 3 CASA 127,SE ACTUALIZA, BAIREJA-TAP349711422, BOCA 1",1,JRAMIRCA,00:34:13,"2018-05-04 10:32:43","2018-05-04 11:06:56"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1428851725,"Correcion limites y Poligonos",164:21:15,"KR 78 C # 76 B 21  SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO AUN DUMMY",1,EESTRAS,00:21:11,"2018-05-04 10:46:04","2018-05-04 11:07:15"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1429230272,"Correcion limites y Poligonos",164:43:48,"KR 78 N BIS # 50 67 SUR PI 2 CATALINA  SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO AUN DUMMY",1,EESTRAS,00:22:34,"2018-05-04 11:07:14","2018-05-04 11:29:48"
"DATA CLEAN","DATA CLEAN","2018-05-03 11:42:00",1429037756,"Correcion limites y Poligonos",24:04:20,"CL 6 # 29 - 72,SE ACTUALIZA,BOBRPAL-TAP335284387, BOCA 7",1,JRAMIRCA,00:29:29,"2018-05-04 11:16:51","2018-05-04 11:46:20"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1429281338,"Correcion limites y Poligonos",165:05:02,"KR 79 BIS # 73 - 92 BL 6 AP 102  SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO AUN DUMMY",1,EESTRAS,00:21:15,"2018-05-04 11:29:47","2018-05-04 11:51:02"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:24:00",1429224622,"Correcion limites y Poligonos",165:43:04,"SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO A UN DUMMY",1,SSANCHP,01:07:52,"2018-05-04 10:59:12","2018-05-04 12:07:04"
