REQUERIMIENTO_ID,PEDIDO_ID,SUBPEDIDO_ID,SOLICITUD_ID,TIPO_ELEMENTO_ID,TIPO_TRABAJO,FECHA_ESTADO,ETAPA_ID,ESTADO_ID,COLA_ID,ACTIVIDAD_ID,NOMBRE_ACTIVIDAD,CONCEPTO_ID,TIEMPO_PENDIENTE
102384864,129482881,2,2,INSIP,RETIR,"2018-05-03 18:14:33",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,16:58:48
102433620,129549327,3,3,ACCESP,NUEVO,"2018-05-03 18:17:41",CONFI,PENDI,AUDSL,ACDSL,"Activar ADSL",O-300,16:55:40
102434158,129549732,2,2,INSIP,RETIR,"2018-05-04 10:01:28",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,01:11:53
102423148,129534570,1,2,INSIP,RETIR,"2018-05-03 12:41:03",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,22:32:18
102419591,129532216,1,2,INSIP,RETIR,"2018-05-03 13:33:33",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,21:39:48
102425380,129534427,1,3,ACCESP,NUEVO,"2018-05-03 14:12:53",CONFI,PENDI,AUDSL,ACDSL,"Activar ADSL",O-300,21:00:28
102473736,129608387,1,1,TO,RETIR,"2018-05-04 09:07:58",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,02:05:23
102474186,129608740,1,1,TO,RETIR,"2018-05-04 09:54:08",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,01:19:13
102052968,128973301,1,2,INSIP,RETIR,"2018-05-03 07:37:23",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,27:35:58
102456691,129563470,3,4,EQURED,NUEVO,"2018-05-04 10:14:15",CONFI,PENDI,AUDSL,ACDSL,"Activar ADSL",O-300,00:59:06
102463886,129593805,3,2,INSIP,RETIR,"2018-05-03 18:17:33",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,16:55:48
102462638,129593016,2,2,INSIP,RETIR,"2018-05-03 18:23:33",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,16:49:48
102467301,129599086,2,2,INSIP,RETIR,"2018-05-03 11:58:43",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,23:14:38
102469003,129600269,1,1,TO,RETIR,"2018-05-03 12:12:52",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,23:00:29
102460312,129581638,2,4,EQURED,NUEVO,"2018-05-03 15:05:01",CONFI,PENDI,AUDSL,ACDSL,"Activar ADSL",O-300,20:08:20
102464164,129594079,2,2,INSIP,RETIR,"2018-05-04 09:58:09",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,01:15:12
102460617,129588886,1,2,INSIP,RETIR,"2018-05-03 17:53:03",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,17:20:18
102459742,129588380,2,2,INSIP,RETIR,"2018-05-03 15:18:53",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,19:54:28
102278945,129302212,2,2,INSIP,RETIR,"2018-05-03 07:27:13",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,27:46:08
102454785,129575951,2,2,INSIP,RETIR,"2018-05-03 14:36:43",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,20:36:38
102454040,129573285,2,2,INSIP,RETIR,"2018-05-03 18:59:53",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,16:13:28
102453274,129571654,2,2,INSIP,RETIR,"2018-05-03 09:27:13",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,25:46:08
102453871,129572482,1,2,INSIP,RETIR,"2018-05-03 15:38:43",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,19:34:38
102452790,129569969,2,2,INSIP,RETIR,"2018-05-03 10:24:03",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,24:49:18
102453003,129570236,1,2,INSIP,RETIR,"2018-05-03 10:29:23",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,24:43:58
102450669,129561328,1,2,INSIP,RETIR,"2018-05-03 14:30:13",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,20:43:08
102454551,129575708,2,2,INSIP,RETIR,"2018-05-03 14:13:33",CONFI,PENDI,AUDSL,DADSL,"Desactivar ADSL",O-300,20:59:48
102439850,129557273,1,2,INSIP,RETIR,"2018-04-30 00:09:46",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,107:03:35
102423004,129534456,1,2,ACCESP,RETIR,"2018-05-04 08:48:08",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",ERBTS,02:25:13
102472936,129607992,2,2,INSIP,RETIR,"2018-05-04 01:34:30",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,09:38:51
102461555,129592384,1,2,INSIP,RETIR,"2018-05-02 12:14:35",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,46:58:46
102467564,129599207,1,2,INSIP,RETIR,"2018-05-03 09:19:11",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,25:54:10
102456268,129582586,1,2,INSIP,RETIR,"2018-05-01 02:09:51",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,81:03:30
102456288,129582595,1,2,TOIP,RETIR,"2018-05-01 02:41:07",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,80:32:14
102456277,129582592,1,2,INSIP,RETIR,"2018-05-01 02:24:53",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,80:48:28
102461506,129592333,1,2,INSIP,RETIR,"2018-05-02 12:09:35",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,47:03:46
102462915,129593254,1,2,ACCESP,RETIR,"2018-05-02 14:15:06",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",ERBTS,44:58:15
102467765,129599330,1,2,INSIP,RETIR,"2018-05-03 09:44:31",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,25:28:50
102445015,129558633,1,2,INSIP,RETIR,"2018-04-30 02:26:11",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,104:47:10
102447061,129556991,1,2,INSIP,RETIR,"2018-04-30 03:05:12",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,104:08:09
102448759,129225793,1,2,ACCESP,RETIR,"2018-04-30 04:03:26",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",ERBTS,103:09:55
102442682,129557818,1,2,ACCESP,RETIR,"2018-04-30 01:27:28",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",ERBTS,105:45:53
102441941,129557390,1,2,INSIP,RETIR,"2018-04-30 01:05:20",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,106:08:01
102441944,129557511,1,2,ACCESP,RETIR,"2018-04-30 01:05:26",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",ERBTS,106:07:55
102446192,129557953,2,2,TOIP,RETIR,"2018-04-30 02:50:33",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,104:22:48
102448862,129446685,2,2,ACCESP,RETIR,"2018-04-30 04:04:28",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",ERBTS,103:08:53
102444119,129559211,1,2,INSIP,RETIR,"2018-04-30 02:09:08",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,105:04:13
102449325,129283957,1,2,ACCESP,RETIR,"2018-04-30 04:06:28",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",ERBTS,103:06:53
102447369,129557406,1,2,TOIP,RETIR,"2018-04-30 03:20:19",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,103:53:02
102443028,129559348,1,2,INSIP,RETIR,"2018-04-30 01:46:28",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,105:26:53
102443571,129558256,1,2,INSIP,RETIR,"2018-04-30 01:59:54",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,105:13:27
102446534,129558406,1,2,INSIP,RETIR,"2018-04-30 02:56:50",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,104:16:31
102442819,129558901,1,2,TOIP,RETIR,"2018-04-30 01:30:50",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,105:42:31
102448959,129407972,1,2,ACCESP,RETIR,"2018-04-30 04:04:28",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",ERBTS,103:08:53
102442296,129557078,1,2,ACCESP,RETIR,"2018-04-30 01:11:25",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",ERBTS,106:01:56
102447954,129559578,1,2,TOIP,RETIR,"2018-04-30 03:28:43",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,103:44:38
102446370,129557736,1,2,ACCESP,RETIR,"2018-04-30 02:54:11",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",ERBTS,104:19:10
102448182,129559561,1,2,INSIP,RETIR,"2018-04-30 03:32:24",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,103:40:57
102442149,129558443,1,2,INSIP,RETIR,"2018-04-30 01:09:19",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,106:04:02
102445777,129557644,1,2,INSIP,RETIR,"2018-04-30 02:43:52",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,104:29:29
102443327,129559253,1,2,INSIP,RETIR,"2018-04-30 01:52:33",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,105:20:48
102444824,129559258,1,2,INSIP,RETIR,"2018-04-30 02:22:55",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,104:50:26
102448054,129559662,2,2,TOIP,RETIR,"2018-04-30 03:30:18",CONFI,PENDI,CBAPON,DOLT,"Desconfigurar OLT",PPRG,103:43:03
